"Date","Production"
1970-05-15,9523
1970-06-15,9359
1970-07-15,9202
1970-08-15,9560
1970-09-15,9853
1970-10-15,10013
1970-11-15,10044
1970-12-15,9944
1971-01-15,9655
1971-02-15,9729
1971-03-15,9768
1971-04-15,9769
1971-05-15,9645
1971-06-15,9604
1971-07-15,9456
1971-08-15,9411
1971-09-15,9135
1971-10-15,9162
1971-11-15,9139
1971-12-15,9100
1972-01-15,9114
1972-02-15,9336
1972-03-15,9462
1972-04-15,9513
1972-05-15,9614
1972-06-15,9522
1972-07-15,9496
1972-08-15,9483
1972-09-15,9508
1972-10-15,9482
1972-11-15,9426
1972-12-15,9335
1973-01-15,9176
1973-02-15,9395
1973-03-15,9272
1973-04-15,9292
1973-05-15,9262
1973-06-15,9214
1973-07-15,9217
1973-08-15,9169
1973-09-15,9065
1973-10-15,9224
1973-11-15,9161
1973-12-15,9063
1974-01-15,8934
1974-02-15,9142
1974-03-15,8965
1974-04-15,8954
1974-05-15,8911
1974-06-15,8780
1974-07-15,8780
1974-08-15,8699
1974-09-15,8443
1974-10-15,8611
1974-11-15,8569
1974-12-15,8527
1975-01-15,8455
1975-02-15,8591
1975-03-15,8493
1975-04-15,8457
1975-05-15,8379
1975-06-15,8421
1975-07-15,8336
1975-08-15,8249
1975-09-15,8280
1975-10-15,8324
1975-11-15,8278
1975-12-15,8254
1976-01-15,8232
1976-02-15,8231
1976-03-15,8232
1976-04-15,8077
1976-05-15,8125
1976-06-15,8094
1976-07-15,8127
1976-08-15,8111
1976-09-15,8150
1976-10-15,8063
1976-11-15,8080
1976-12-15,8061
1977-01-15,7854
1977-02-15,8139
1977-03-15,8090
1977-04-15,8145
1977-05-15,8075
1977-06-15,8102
1977-07-15,8105
1977-08-15,8307
1977-09-15,8480
1977-10-15,8573
1977-11-15,8579
1977-12-15,8487
1978-01-15,8360
1978-02-15,8377
1978-03-15,8720
1978-04-15,8818
1978-05-15,8825
1978-06-15,8832
1978-07-15,8756
1978-08-15,8758
1978-09-15,8800
1978-10-15,8820
1978-11-15,8741
1978-12-15,8662
1979-01-15,8475
1979-02-15,8525
1979-03-15,8601
1979-04-15,8553
1979-05-15,8601
1979-06-15,8432
1979-07-15,8364
1979-08-15,8548
1979-09-15,8523
1979-10-15,8621
1979-11-15,8761
1979-12-15,8615
1980-01-15,8675
1980-02-15,8705
1980-03-15,8698
1980-04-15,8685
1980-05-15,8635
1980-06-15,8554
1980-07-15,8547
1980-08-15,8414
1980-09-15,8619
1980-10-15,8532
1980-11-15,8495
1980-12-15,8606
1981-01-15,8540
1981-02-15,8604
1981-03-15,8613
1981-04-15,8557
1981-05-15,8501
1981-06-15,8629
1981-07-15,8500
